top - 00:32:23 up  1:09,  1 user,  load average: 19.62, 18.25, 15.87
Tasks: 454 total,   3 running, 451 sleeping,   0 stopped,   0 zombie
%Cpu(s): 61.9 us,  6.0 sy,  0.0 ni, 32.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15911.2 total,   4096.4 free,   7408.0 used,   4406.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   8007.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 149366 aidan     20   0 3790016 246708 151480 S 306.2   1.5  24:31.75 rtabmap
  21570 aidan     20   0 6540532 678316 174004 R 175.0   4.2  77:22.27 gzserver
 149368 aidan     20   0 3969560 555276 233948 R  75.0   3.4  10:48.12 rtabmap_viz
 149372 aidan     20   0 4721368 364168 173292 S  50.0   2.2   5:11.10 gzclient
  21560 aidan     20   0 5891612 206104 144980 S  37.5   1.3  11:00.89 depth_live_filt
 150189 aidan     20   0 1776320 496976 147656 S  37.5   3.1   4:39.96 rviz2
 149360 aidan     20   0 5898792 211224 144344 S  31.2   1.3   2:24.59 depth_live_filt
 149389 aidan     20   0  906220 135732  25956 S  25.0   0.8   2:24.28 smoother_server
 149414 aidan     20   0  919504  64932  34792 S  25.0   0.4   3:31.70 bt_navigator
 149523 aidan     20   0 1687524 555424  29408 S  25.0   3.4   3:38.99 planner_server
   2277 aidan     20   0 4797860 464976 145768 S  18.8   2.9  11:18.17 gnome-shell
 149385 aidan     20   0 1197808  55860  30404 S  18.8   0.3   2:29.10 controller_serv
 149405 aidan     20   0 1687288 560176  29756 S  18.8   3.4   3:33.16 planner_server
 149410 aidan     20   0  977436  48740  29924 S  18.8   0.3   2:28.62 behavior_server
 149495 aidan     20   0 1198068  56736  30672 S  18.8   0.3   2:38.47 controller_serv
 149550 aidan     20   0  911708  48616  30056 S  18.8   0.3   2:31.30 behavior_server
 149557 aidan     20   0  917024  63468  35020 S  18.8   0.4   3:27.59 bt_navigator
   5230 aidan     20   0   13844   6444   3628 S  12.5   0.0   1:05.35 htop
